nume_actiune,timestamp,thread
loadCandidati,23-06-2022 16:31:45,20
findExamen,23-06-2022 16:31:45,20
loadExamene,23-06-2022 16:31:45,20
loadCandidati,23-06-2022 16:31:45,20
changeFacultate,23-06-2022 16:32:00,20
loadFacultati,23-06-2022 16:32:00,20
findExamen,23-06-2022 16:32:00,20
loadExamene,23-06-2022 16:32:00,20
loadCandidati,23-06-2022 16:32:00,20
findExamen,23-06-2022 16:32:00,20
loadExamene,23-06-2022 16:32:00,20
loadCandidati,23-06-2022 16:32:00,20
findFacultate,23-06-2022 16:32:00,20
loadFacultati,23-06-2022 16:32:00,20
findExamen,23-06-2022 16:32:00,20
loadExamene,23-06-2022 16:32:00,20
loadCandidati,23-06-2022 16:32:00,20
findExamen,23-06-2022 16:32:00,20
loadExamene,23-06-2022 16:32:00,20
loadCandidati,23-06-2022 16:32:00,20
findFacultate,23-06-2022 16:32:00,20
loadFacultati,23-06-2022 16:32:00,20
findExamen,23-06-2022 16:32:00,20
loadExamene,23-06-2022 16:32:00,20
loadCandidati,23-06-2022 16:32:00,20
findExamen,23-06-2022 16:32:00,20
loadExamene,23-06-2022 16:32:00,20
loadCandidati,23-06-2022 16:32:00,20
changeFacultate,23-06-2022 16:32:11,20
loadFacultati,23-06-2022 16:32:11,20
findExamen,23-06-2022 16:32:11,20
loadExamene,23-06-2022 16:32:11,20
loadCandidati,23-06-2022 16:32:12,20
findExamen,23-06-2022 16:32:12,20
loadExamene,23-06-2022 16:32:12,20
loadCandidati,23-06-2022 16:32:12,20
findFacultate,23-06-2022 16:32:12,20
loadFacultati,23-06-2022 16:32:12,20
findExamen,23-06-2022 16:32:12,20
loadExamene,23-06-2022 16:32:12,20
loadCandidati,23-06-2022 16:32:12,20
findExamen,23-06-2022 16:32:12,20
loadExamene,23-06-2022 16:32:12,20
loadCandidati,23-06-2022 16:32:12,20
findFacultate,23-06-2022 16:32:12,20
loadFacultati,23-06-2022 16:32:12,20
findExamen,23-06-2022 16:32:12,20
loadExamene,23-06-2022 16:32:12,20
loadCandidati,23-06-2022 16:32:12,20
findExamen,23-06-2022 16:32:12,20
loadExamene,23-06-2022 16:32:12,20
loadCandidati,23-06-2022 16:32:12,20
changeFacultate,23-06-2022 16:32:21,20
loadFacultati,23-06-2022 16:32:21,20
findExamen,23-06-2022 16:32:21,20
loadExamene,23-06-2022 16:32:21,20
loadCandidati,23-06-2022 16:32:21,20
findExamen,23-06-2022 16:32:21,20
loadExamene,23-06-2022 16:32:21,20
loadCandidati,23-06-2022 16:32:21,20
findFacultate,23-06-2022 16:32:21,20
loadFacultati,23-06-2022 16:32:21,20
findExamen,23-06-2022 16:32:21,20
loadExamene,23-06-2022 16:32:21,20
loadCandidati,23-06-2022 16:32:21,20
findExamen,23-06-2022 16:32:21,20
loadExamene,23-06-2022 16:32:21,20
loadCandidati,23-06-2022 16:32:21,20
findFacultate,23-06-2022 16:32:21,20
loadFacultati,23-06-2022 16:32:21,20
findExamen,23-06-2022 16:32:21,20
loadExamene,23-06-2022 16:32:21,20
loadCandidati,23-06-2022 16:32:21,20
findExamen,23-06-2022 16:32:21,20
loadExamene,23-06-2022 16:32:21,20
loadCandidati,23-06-2022 16:32:21,20
findFacultate,23-06-2022 16:32:24,20
loadFacultati,23-06-2022 16:32:24,20
findExamen,23-06-2022 16:32:24,20
loadExamene,23-06-2022 16:32:24,20
loadCandidati,23-06-2022 16:32:24,20
findExamen,23-06-2022 16:32:24,20
loadExamene,23-06-2022 16:32:24,20
loadCandidati,23-06-2022 16:32:24,20
changeFacultate,23-06-2022 16:32:34,20
loadFacultati,23-06-2022 16:32:34,20
findExamen,23-06-2022 16:32:34,20
loadExamene,23-06-2022 16:32:34,20
